2020-10-22 05:30:05, Geeta Mohan Indiainbhutan PMBhutan FMBhutan RuchiraKamboj Good to know but misleading picture accompanying the story , Khampaa , ,3824,Thimphu 
2020-10-22 03:56:41, CabinetDecisions Cabinet approves extension of the Market Intervention Scheme for procurement of apples in Jammu and Kashmir for the year 2020 21 https t co KhOuFm5W2O PMBhutan PMOIndia MEAIndia IndianDiplomacy PBNS India FMBhutan DDNewslive KuenselOnline BhutanT , Indiainbhutan , CabinetDecisions ,11688,Thimphu 
2020-10-22 03:51:27, TenzingLamsang How about humjaiga in Darjeeling , yeshitenzin12 , ,0,Thimphu 
2020-10-22 03:39:05, xf0 x9f x87 xa7 xf0 x9f x87 xb9 xf0 x9f x87 xae xf0 x9f x87 xb3 hydropower India assisted Mangdechhu hydroelectric project in Bhutan wins prestigious award https t co WBUKn1mdmw PMBhutan PMOIndia FMBhutan BhutanMoea PIB India KuenselOnline BBSBhutan BhutanTODAY IndianDiplomacy PBNS India , Indiainbhutan , hydropower ,11688,Thimphu 
2020-10-22 03:37:59, National Situational Update on COVID 19 data as of 21st October 2020 1 new case detected over the last 24 hours The 45 year old Bhutanese woman entered Bhutan from India on 29 Sept 2020 She was quarantined in Phuntsholing and is now being moved to the isolation https t co hte3WPNckn , business bhutan , ,11320,Thimphu 
2020-10-22 03:37:31, xf0 x9f x87 xa7 xf0 x9f x87 xb9 xf0 x9f x87 xae xf0 x9f x87 xb3 hydropower India assisted Mangdechhu hydroelectric project in Bhutan wins prestigious award Deccan Herald https t co nirreupXQT PMBhutan FMBhutan PMOIndia MEAIndia IndianDiplomacy PIB India livemint JournalistBt KuenselOnline BBSBhutan , Indiainbhutan , hydropower ,11688,Thimphu 
2020-10-22 03:07:54, Product made in Bhutan Bhutanese handwoven Sling bag by RENEW xe2 x8f xa9 https t co ZbYP9ICO6w https t co AwL0VCatsJ , Druksell1 , ,3,Thimphu 
2020-10-22 03:04:25, The story behind Thailand s Hunger Games protest salute The Japan Times https t co xeHg1vKFFR , DziJ , ,1766,Thimphu 
2020-10-22 02:58:29, passangyt Blue pine trees have been dying in Thimphu Valley for last 2 3 years The NRDCL is undertaking what is called a salvage logging a practice of xc2 xa0removing trees that have been damaged by xc2 xa0fire amp disease , pnamgyel , ,687,Thimphu 
2020-10-22 02:48:43, Not sure how many of you trust Quora but it says Conviction is the verdict and acknowledgment you did the crime imprisonment is where you serve your sentence set forth by that conviction https t co fadxtoU5c6 , ChhedupSangay , ,1162,Thimphu 
2020-10-22 02:46:24, brianschatz kumailn U didn t say that about Biden He has got a lot of sponsors there Trump is a business man Which one makes more sense , chunjurrinchhen , ,179,Thimphu 
2020-10-22 02:40:09, jackpot15 chokey JigsNews Because you are better at handling the balls no puns intended xf0 x9f xa4 xa3 xf0 x9f xa4 xa3 xf0 x9f xa4 xa3 , DziJ , ,1766,Thimphu 
2020-10-22 02:37:19, Sentenced to imprisonment is interesting Sentence wouldn t necessarily mean imprisonment Or it would Some judicial interpretation needed here , ChhedupSangay , ,1162,Thimphu 
2020-10-22 02:19:54, Earning my stripes AutumnInTheThunderDragon Motithang https t co NIT9e03c4g , LovenRamos , AutumnInTheThunderDragon ,2111,Bhutan 
2020-10-22 01:17:19, xf0 x9f x87 xa7 xf0 x9f x87 xb9 xf0 x9f x87 xae xf0 x9f x87 xb3 hydropower India assisted Mangdechhu hydroelectric project in Bhutan wins prestigious award https t co 8duIVzWdD0 PMBhutan PMOIndia MEAIndia FMBhutan BhutanMoea WIONews livemint KuenselOnline BBSBhutan business bhutan JournalistBt BhutanChamber , Indiainbhutan , hydropower ,11688,Thimphu 
2020-10-22 01:14:26, xf0 x9f x87 xa7 xf0 x9f x87 xb9 xf0 x9f x87 xae xf0 x9f x87 xb3 hydropower India assisted Mangdechhu hydroelectric project in Bhutan wins prestigious award India News Times of India https t co G0DCoB6KMh PMBhutan PMOIndia FMBhutan BhutanMoea KuenselOnline BBSBhutan business bhutan PTI News PBNS India DDNewslive , Indiainbhutan , hydropower ,11688,Thimphu 
2020-10-22 01:12:32, xf0 x9f x87 xa7 xf0 x9f x87 xb9 xf0 x9f x87 xae xf0 x9f x87 xb3 hydropower India assisted Mangdechhu hydroelectric project in Bhutan wins prestigious award India News https t co ENWi9tKtwp via Newssew PMBhutan PMOIndia MEAIndia FMBhutan BhutanMoea PIB India PTI News PBNS India KuenselOnline BBSBhutan , Indiainbhutan , hydropower ,11688,Thimphu 
2020-10-22 01:10:51, xf0 x9f x87 xa7 xf0 x9f x87 xb9 xf0 x9f x87 xae xf0 x9f x87 xb3 hydropower India assisted Mangdechhu hydroelectric project in Bhutan wins prestigious award https t co O6bopDdHpA PMBhutan PMOIndia MEAIndia FMBhutan PTI News PIB India PBNS India BBSBhutan business bhutan JournalistBt , Indiainbhutan , hydropower ,11688,Thimphu 
2020-10-22 01:09:26, xf0 x9f x87 xa7 xf0 x9f x87 xb9 xf0 x9f x87 xae xf0 x9f x87 xb3 hydropower India assisted Mangdechhu hydroelectric project in Bhutan wins award https t co 9j0x7ooI8Y PMBhutan FMBhutan BhutanMoea WIONews KuenselOnline JournalistBt business bhutan BhutanT bhutanpdp BBSBhutan PTI News , Indiainbhutan , hydropower ,11688,Thimphu 
2020-10-22 01:05:51, xf0 x9f x87 xa7 xf0 x9f x87 xb9 xf0 x9f x87 xae xf0 x9f x87 xb3 hydropower India assisted Mangdechhu hydroelectric project in Bhutan wins prestigious award The New Indian Express https t co XfGr5wxJfp PMBhutan FMBhutan PMOIndia MEAIndia DDNewslive WIONews PBNS India KuenselOnline BBSBhutan business bhutan , Indiainbhutan , hydropower ,11688,Thimphu 
2020-10-21 20:10:11, In a flow with this xf0 x9f xa4 x98 xe2 x9c x8c xf0 x9f x93 xb1 Reading True Beauty made my day better https t co sDTlRAIPBo WEBTOON , Purkie0919 , True Beauty WEBTOON ,16,Thimphu 
2020-10-21 19:26:59, Suit this colour very much xf0 x9f x98 xb1 xf0 x9f x98 x8d xf0 x9f x98 x8d xf0 x9f x98 x8d xf0 x9f x92 x9c jhope hobicolour https t co bKKaOhPmBl , Purkie0919 , jhope hobicolour ,16,Thimphu 
2020-10-21 18:11:19, ColorsTV KhanEijaz BeingSalmanKhan Rubina was last one to come out , YBhutanese , ,146,Thimphu 
2020-10-21 18:10:13, Dezildezzz just admit if for once chief benzema is a clown , Crocodilovic , ,54,Thimphu 
2020-10-21 17:08:06, Make a fool of yourself for love Make an unforgettable memory Live the life like you mean it Find the passion for love and embrace You gotta hold it and let go at the same time Because love is a miracle you gonna experience mixture of pain and joy , BhattaraiYama , ,16,Thimphu 
2020-10-21 16:24:49, Here is the plan You go on living the best you can You try to have some fun along the way Then one day it s over You wake up and there s an angel Sitting at the edge of your bed Movie Unbroken , BhattaraiYama , ,16,Thimphu 
2020-10-21 16:23:30, MesutOzil1088 Whether you play or not We love you ozil , DorjeeTee , ,373,Thimphu 
2020-10-21 16:19:52, Section 179 of the Election Act of Bhutan a person shall be disqualified as a candidate or a member holding an elective office under the Constitution if he or she has been convicted for any criminal offence and sentenced to imprisonment What is sentenced to imprisonment , ChhedupSangay , ,1162,Thimphu 
2020-10-21 16:02:01, Grateful for always being surrounded by people where Brand was complimentary and the last thing to be worried about , Tobgay333 , ,54,Thimphu 
2020-10-21 15:56:13, LivEchoLFC Just simply sack him because he already cost too much for LFC Shame on him and match official for not dutiful , Drukpa Druk , ,13,Paro 
2020-10-21 15:53:42, lekeydorji Long over due according to our EDP plans to facilitate trade but good it xe2 x80 x99s finally happened , sangaykhandu , ,8076,Thimphu 
2020-10-21 15:25:25, realDonaldTrump Is Cambridge Analytica still working from behind for you , insidebhutan , ,769,Thimphu 
2020-10-21 15:15:12, Online application form for the Ambassador xe2 x80 x99s Scholarship for 2020 2021 has been launched Here is the link to the Press Release https t co qczeZc4um1 PMBhutan PMOIndia MEAIndia IndianDiplomacy PIB India KuenselOnline BBSBhutan BhutanTODAY business bhutan BhutanT https t co QQsfIm1D6T , Indiainbhutan , ,11688,Thimphu 
2020-10-21 14:10:42, LhendupDema Lucky of u lol , somrikzin , ,51,Thimphu 
