2020-07-28 12:50:18, Sangaywk xf0 x9f x98 xb1 Do you speak it often Like with family too , namgayzam , ,23201,Bhutan 
2020-07-28 12:09:13, pogorman5 TheFantasyKing2 How much is the entry fee Or is the entry free of cost xf0 x9f xa4 xa3 xf0 x9f xa4 xa3 , DeependraKoira5 , ,29,Thimphu 
2020-07-28 12:07:20, Hassanality FFScout Joe Sky fantasy is not available in many of the countries for example my country it is not available that maybe the cause that it is played my minority , DeependraKoira5 , ,29,Thimphu 
2020-07-28 11:07:58, A truer observation hasn xe2 x80 x99t been made in a while xe2 x80 x9cBhutanese governance has it all wrong We don xe2 x80 x99t have to motivate our professionals We just have to stop demotivating them xe2 x80 x9d https t co 76C7GlcRwh , namgayzam , ,23201,Thimphu 
2020-07-28 11:03:59, District Governor I think we can simply say Dzongdag https t co 3josPgGKU6 , ChhedupSangay , ,1098,Thimphu 
2020-07-28 11:00:15, DorjiWangchuk spelden Someone I know called this a xe2 x80 x9cmalaise xe2 x80 x9d about a decade ago Things haven xe2 x80 x99t changed still But I xe2 x80 x99m hopeful , namgayzam , ,23201,Thimphu 
2020-07-28 10:19:26, Khorwa2 I see a vendetta here xf0 x9f xa4 xa3 since the minister MoWH is from Sakten Merak is grinding the long standing feud between the two communities xf0 x9f x98 x8c , DziJ , ,1693,Thimphu 
2020-07-28 09:52:41, We met for our 4th monthly meeting on Sunday We deliberated on the draft Hub Charter 3 Shapers were also on their final day of training to become Climate Reality Leaders with the ClimateReality https t co TByRLMA1AZ a commitmentour Hub is going zero waste during our meetings https t co 1x2E6A8fSX , ShapersThimphu , ,9,Thimphu 
2020-07-28 09:47:56, Oberving World Hepatitis Day 2020 Health Minister dwangmothimphu shares her thoughts about our target of HepatitisFreeFuture HealthinAllHealthForAll https t co KEqz927Vo6 , MoHBhutan , HepatitisFreeFuture HealthinAllHealthForAll ,1428,Thimphu 
2020-07-28 09:05:44, Chelsea will listen to offers over xc2 xa350m for Kepa Arrizabalaga https t co iMRxbncI8s via MailSport , TsheringJatsho , ,15,Thimphu 
2020-07-28 08:34:45, The gateway to eastern Bhutan Samdrup Jongkhar is situated in the southeastern region of the country and shares borders with the Indian state of Assam It is by far the largest urban centre in eastern Bhutan It xe2 x80 xa6 https t co PH9FwIlaov , tourismbhutan , ,12102,Thimphu 
2020-07-28 08:25:01, iSudatta Never been want to go list Have received plenty of Calcutta mishti doi Want more , namgayzam , ,23201,Thimphu 
2020-07-28 08:21:06, iSudatta Where in Bengal from Cats love me btw I carry cetrizine with me everywhere because of this xf0 x9f x98 x82 , namgayzam , ,23201,Thimphu 
2020-07-28 08:19:06, chimis I learnt a lesson from it Look before you like Lol , namgayzam , ,23201,Thimphu 
2020-07-28 07:47:15, iSudatta It was the cat thing I xe2 x80 x99m allergic to them xf0 x9f x98 x82 JK I like them but allergic Seriously What xe2 x80 x99s up with some Indians on Twitter tho xf0 x9f xa4 xa6 xf0 x9f x8f xbb xe2 x80 x8d xe2 x99 x80 xef xb8 x8f Like Indian friends in school would say Chill Yaarrrr , namgayzam , ,23201,Thimphu 
2020-07-28 07:44:21, DorjiWangchuk That xe2 x80 x99s true la Both sides monopolise nationalism , namgayzam , ,23201,Thimphu 
2020-07-28 07:39:39, Long Live His Majesty Drukgyal Zhipa Long Live His Majesty The People xe2 x80 x99s King and Long Live His Royal Highness The Gyalsey Long Live Wangchuck Dynasty xf0 x9f x99 x8f xf0 x9f x99 x8f xf0 x9f x99 x8f Palden Drukpa Gyalo BMT Happiness House https t co EjxiaqbmTr , bhutan majestic , ,1131,Thimphu 
2020-07-28 07:37:34, Scholarships for the academic year xc2 xa02020 2021 https t co th35FzYNLI , umsb123 , ,53,Thimphu 
2020-07-28 07:31:55, Blocked another jingoistic Indian troll right now What xe2 x80 x99s with Indian Twitter So polarised If you are a Bhutanese and share pieces criticising India on valid grounds you xe2 x80 x99re a CCP mouthpiece SMH I xe2 x80 x99m going to block all of you Nope not sorry , namgayzam , ,23201,Thimphu 
2020-07-28 07:24:09, jins94475391 AartiTikoo Also why follow me To troll me , namgayzam , ,23201,Thimphu 
2020-07-28 07:23:44, jins94475391 AartiTikoo Lol Is that all the world is to people like you Just because I don xe2 x80 x99t agree on some things Indian I xe2 x80 x99m a Chinese mouthpiece But if I support India I xe2 x80 x99m a friend , namgayzam , ,23201,Thimphu 
2020-07-28 07:21:03, jins94475391 Ladakh is more than 59 000 sq km in area The photos you have tweeted is Leh about 10 sq km , namgayzam , ,23201,Thimphu 
2020-07-28 07:16:46, jins94475391 Have you been to Ladakh These are photos of Leh market Have you been to the border areas Life is harsh Border settlements are disappearing in search of better comfortable lives in Leh I xe2 x80 x99ve been to Ladakh twice already and know life amp people there , namgayzam , ,23201,Thimphu 
