2020-08-04 16:38:13, Arduino reading the sensor and using Particle Photon to push the data to GoogleDocs Sheet MiniProject Electronics Engineering https t co 6dLqeB8CXi , pradhan557 , Arduino sensor Particle Photon GoogleDocs Sheet MiniProject Electronics Engineering ,259,Thimphu 
2020-08-04 15:56:26, Fascinating stunning and mesmerizing place https t co g3blxKZNxr , KinzangDendup1 , ,218,Thimphu 
2020-08-04 15:54:12, DelmaKarma Beautiful , KinzangDendup1 , ,218,Thimphu 
2020-08-04 15:18:08, okay I vl follow her Ms https t co rY8oz2jj6a , SyedSaa1 , ,1550,Thimphu 
2020-08-04 15:05:22, why Ms Julia give me the reason https t co PLGYubQahz , SyedSaa1 , ,1550,Thimphu 
2020-08-04 15:01:26, BJP4India Excellent move by BJP Government People under poverty and Dalits are now taken care Kusur to BJP government Keep making India great Best wishes , nidhi bhattarai , ,6,Thimphu 
2020-08-04 14:47:00, Fourth COVID19 death in Jaigoan https t co wsQWzLvlPY , ChhedupSangay , COVID19 ,1104,Thimphu 
2020-08-04 14:35:04, GakiTenzin I need to do that as well Also it would be my final visit to that shop xf0 x9f x98 x82 , ChhedupSangay , ,1104,Thimphu 
2020-08-04 13:49:31, bhutanpdp Drowawangcha Pdp has a point Ruling govt should amend the law under special circumstances such as today I also support govt unilateral decision to open tobacco depot to protect citizens from COVID19 from tobacco smugglers , DziJ , ,1699,Thimphu 
2020-08-04 13:46:39, What I irritate most is the way our shopkeeper talk to their customers It s truly shocking at times Wonder if they can survive or how they sustain with this attitude God save them , ChhedupSangay , ,1104,Thimphu 
2020-08-04 13:38:16, xe2 x80 x9cDoing easily what others find difficult is Talent Doing what is impossible for Talent is GENIUS xe2 x80 x9d Henri Frederic Amiel BMT Happiness House https t co a0AGHgEPUd , bhutan majestic , ,1132,Thimphu 
2020-08-04 13:19:53, Guys new tiktok challenge MashayTeyChallenge cause its been a while Challenge 5 friends who you think would do this well using the above hashtag Spread the love xf0 x9f x98 x8a https t co VUVyYiM0Sa , mstudiobhutan , MashayTeyChallenge ,241,Thimphu 
2020-08-04 13:08:10, PDP on the legality of selling tobacco products by the government xe2 x80 x99s outlet https t co L3WUOESvZC , BBSBhutan , ,51583,Thimphu 
2020-08-04 13:07:45, Low price forces almost half of the Cordyceps collectors to withdraw from auction Saephu Gewog https t co ziSSp5kSiw , BBSBhutan , ,51583,Thimphu 
2020-08-04 11:31:54, adhik Joshi It definitely is , TenzingLamsang , ,23863,Thimphu 
2020-08-04 11:27:31, As Oscar Wilde once said xe2 x80 x98Imitation is the sincerest form of flattery xe2 x80 x99 India xe2 x80 x99s main opposition party unwittingly paid high praise to BJP by trying to do a Hindutva light on the Ram Temple Yet to see BJP voters taking this seriously but it will cost Congress among Muslims https t co X2HwjjJtnn , TenzingLamsang , ,23863,Thimphu 
2020-08-04 11:03:06, BBS Radio Article 19 Interim Government Section 1 to 6 https t co metvFXD8s9 , BBSBhutan , ,51583,Thimphu 
2020-08-04 10:59:31, Ministry of Health in collaboration with the World Health Organization Bhutan organized a field trip for the mainstream media houses last week The objective of this field trip was to orient the journalists on xe2 x80 xa6 https t co 2SXHxGzAty , MoHBhutan , ,1443,Thimphu 
2020-08-04 10:26:12, Magmi dasho is not my dasho , Tobgay333 , ,39,Thimphu 
2020-08-04 10:09:39, Tecio13 NiiNiiFC he don t deserve to be referee Hope FIFAcom FIFA will look into it , TsheringJatsho , ,15,Thimphu 
2020-08-04 10:03:34, Can t let go of something i want to xf0 x9f x98 x85 , BidhaChencho , ,103,Paro 
2020-08-04 09:42:11, DebaratiDas44 You re good at everything , davidmhecht , ,498,Thimphu 
2020-08-04 08:18:42, deeprajchhetri Thank you for the feedback la The website is not official amp still in development phase thus we haven t shared the website anywhere la For now kindly check this link on our website for information on eTeeru https t co CQHu37dV2z , TashiCell , ,1765,Thimphu 
2020-08-04 07:53:14, SangayKarp gasebtandin Yep that xe2 x80 x99s the only logical thing , DziJ , ,1699,Thimphu 
2020-08-04 07:44:47, JigsNews Who wears 2 condoms , zzezenn , ,1948,Thimphu 
2020-08-04 07:32:06, SaldanhaWinston Yes On all platforms , namgayzam , ,23302,Thimphu 
2020-08-04 07:10:31, My best wishes to H E Shri AmitShah Union Minister of Home Affairs of India for a speedy and complete recovery , FMBhutan , ,3543,Thimphu 
2020-08-04 07:01:07, Financial worries could keep you from pursuing an enjoyable ex More for Sagittarius https t co FfKav1h4Nc , kintsho bht , ,30,Thimphu 
2020-08-04 07:00:59, Keep secrets to yourself today betraying the confidence of so More for Taurus https t co EECfQYA8HL , cixx67 , ,1508,Thimphu 
2020-08-04 07:00:15, It s no use trying to force someone to like you so stop looki More for Pisces https t co uojyhA9mo8 , LobzangYeshey1 , ,314,Thimphu 
