,Date,Sentiment Score
0,03/19/2020,0.10745409582366106
1,03/18/2020,0.12468165549047902
2,03/17/2020,0.16402003910068427
3,03/16/2020,0.07939676745113844
4,03/15/2020,0.1799021164021164
5,03/14/2020,0.1478656756052589
6,03/13/2020,0.1585550371345826
7,03/12/2020,0.08147724108250425
8,03/11/2020,0.23406529581529584
9,12/28/2019,0.2349631519274377
10,12/27/2019,0.17961986814927997
11,12/26/2019,0.1996501560455049
12,12/25/2019,0.17240054713804714
13,12/24/2019,0.15766267324406857
14,12/23/2019,0.25695583062770566
15,12/22/2019,0.20158565971065973
16,12/21/2019,0.07603892266126308
17,12/20/2019,0.058836713697824804
18,01/26/2020,0.22135416666666669
19,01/25/2020,0.23007774707371484
20,01/24/2020,0.10395101181886895
21,01/23/2020,0.20367388268722536
22,01/22/2020,0.19480011558369761
23,01/21/2020,0.07032306166381108
24,01/20/2020,0.048297258297258304
25,01/19/2020,0.13623876123876122
26,01/18/2020,0.1506172839506173
27,08/13/2020,0.1265566606389391
28,08/12/2020,0.14269040819858578
29,08/11/2020,0.15414452304696208
30,08/10/2020,0.09947765197765197
31,08/09/2020,0.1965484081890332
32,08/08/2020,0.2004485182838841
33,08/07/2020,0.2050139762403914
34,08/06/2020,0.14807193362193363
35,08/05/2020,0.17771380751031918
36,08/04/2020,0.22033825265643445
37,11/11/2019,0.23344516594516598
38,11/10/2019,0.3184702087318367
39,11/09/2019,0.15477348368477398
40,11/08/2019,0.175526936026936
41,11/07/2019,0.13570795556644616
42,11/06/2019,0.12336713489057238
43,11/05/2019,0.24799731777343725
44,11/04/2019,0.16392064763939768
45,11/03/2019,0.1592740299823633
46,02/12/2020,0.33849489795918364
47,02/11/2020,0.21653110047846885
48,02/10/2020,0.25724664802789804
49,02/09/2020,0.2418333918333918
50,02/08/2020,0.2091081267217631
51,02/07/2020,0.17945658904587475
52,02/06/2020,0.0982918810748999
53,05/21/2020,0.274338023088023
54,05/20/2020,0.12771091597796144
55,05/19/2020,0.19425912261139536
56,05/18/2020,0.17268552875695736
57,05/17/2020,0.19219635770975055
58,05/16/2020,0.16416651635401638
59,05/15/2020,0.1546018148518149
60,05/14/2020,0.17533552003552003
61,05/13/2020,0.17173913043478262
62,09/10/2020,0.19441904951773376
63,09/09/2020,0.23204527155614119
64,09/08/2020,0.1993003565062389
65,09/07/2020,0.18051855766972047
66,09/06/2020,0.18279541446208114
67,09/05/2020,0.08776258828890408
68,09/04/2020,0.15080710955710952
69,09/03/2020,0.1677913889461509
70,09/02/2020,0.14852469053999665
71,09/01/2020,0.12867243867243866
72,08/03/2020,0.18797041027154665
73,07/28/2020,0.13659927849927855
74,07/27/2020,0.15182196969696968
75,07/26/2020,0.06853889884062299
76,07/25/2020,0.13651455026455028
77,07/24/2020,0.1869837790263322
78,07/23/2020,0.18651731445562608
79,07/22/2020,0.19200528007346185
80,07/21/2020,0.2272580073696145
81,07/20/2020,0.15393004061350835
82,07/19/2020,0.1991857349000206
83,04/01/2020,0.2270625553783448
84,03/31/2020,0.14546403662475085
85,03/30/2020,0.16922916809821573
86,03/29/2020,0.2077130692710403
87,03/28/2020,0.14517525962198094
88,03/27/2020,0.16705325007049143
89,03/26/2020,0.08801681002979701
90,03/25/2020,0.08210072393616695
91,02/26/2020,0.2759943977591036
92,02/25/2020,0.24593245513167386
93,02/24/2020,0.22619453463203462
94,02/23/2020,0.3328072390572391
95,02/22/2020,0.25720990391722104
96,02/21/2020,0.29853593580638504
97,02/20/2020,0.2263277447599481
98,02/19/2020,0.27430826118326124
99,02/18/2020,0.22356460514793852
100,02/17/2020,0.19601964769647695
101,02/16/2020,0.26904761904761904
102,07/03/2020,0.1956035490529161
103,07/02/2020,0.15207492011956292
104,07/01/2020,0.17869076522704638
105,06/30/2020,0.24756915748393019
106,08/27/2020,0.18058238058238057
107,08/26/2020,0.06717487640564565
108,08/25/2020,0.06837572150072149
109,08/24/2020,0.08996189483031589
110,08/23/2020,0.18919462716215962
111,08/22/2020,0.1830229152085439
112,10/23/2020,0.18336790524290528
113,10/22/2020,0.13747246400171928
114,10/21/2020,0.1668691252805836
115,10/20/2020,0.16350072150072145
116,10/19/2020,0.16169184076792772
117,10/18/2020,0.2173046100272128
118,10/17/2020,0.14992599015890942
