,Date,BSI,Sentiment
0,01/20/2020,1020.995,0.048297258297258304
1,01/21/2020,1023.2,0.07032306166381108
2,01/22/2020,1025.37,0.1948001155836976
3,01/23/2020,1020.25,0.20367388268722536
4,01/24/2020,1016.225,0.10395101181886897
5,01/29/2020,1013.645,0.20025715226802185
6,01/30/2020,1011.595,0.2766674585577025
7,01/31/2020,1007.96,0.15425438912938913
8,02/03/2020,1006.135,0.26210027571634714
9,02/04/2020,1006.91,0.1386779560308972
10,02/05/2020,1007.52,0.23393939393939386
11,02/06/2020,1014.47,0.0982918810748999
12,02/07/2020,1010.735,0.17945658904587475
13,02/10/2020,1009.02,0.25724664802789804
14,02/11/2020,1019.395,0.21653110047846885
15,02/12/2020,1010.355,0.33849489795918364
16,02/17/2020,1005.23,0.19601964769647692
17,02/18/2020,999.39,0.22356460514793847
18,02/19/2020,997.875,0.27430826118326124
19,02/20/2020,994.505,0.2263277447599481
20,02/26/2020,994.6,0.2759943977591036
21,03/11/2020,985.1833333333334,0.23406529581529584
22,03/12/2020,976.99,0.08147724108250425
23,03/13/2020,973.85,0.1585550371345826
24,03/16/2020,966.97,0.07939676745113844
25,03/17/2020,966.32,0.16402003910068427
26,03/18/2020,968.045,0.12468165549047902
27,03/19/2020,959.57,0.10745409582366107
28,03/25/2020,949.04,0.08210072393616695
29,03/26/2020,947.295,0.08801681002979701
30,03/27/2020,949.11,0.16705325007049146
31,03/30/2020,953.32,0.16922916809821573
32,05/13/2020,929.235,0.17173913043478262
33,05/14/2020,929.46,0.17533552003552005
34,05/15/2020,929.35,0.1546018148518149
35,05/18/2020,929.43,0.17268552875695736
36,05/19/2020,929.46,0.19425912261139536
37,05/20/2020,929.31,0.12771091597796144
38,05/21/2020,929.355,0.274338023088023
39,06/22/2020,922.105,0.2679112554112554
40,06/23/2020,921.975,0.14687545093795096
41,06/24/2020,922.06,0.13636589869640714
42,06/25/2020,922.085,0.07154303574385541
43,06/26/2020,922.695,0.06902823544614589
44,06/29/2020,921.565,0.17904102408008654
45,06/30/2020,920.9,0.24756915748393016
46,07/01/2020,921.38,0.17869076522704638
47,07/02/2020,924.54,0.15207492011956292
48,07/03/2020,923.555,0.1956035490529161
49,07/06/2020,923.32,0.18863161692109065
50,07/07/2020,922.86,0.1574435626102293
51,07/08/2020,926.92,0.19930272108843536
52,07/09/2020,926.94,0.1259439634439634
53,07/10/2020,923.78,0.14389399625133326
54,07/13/2020,924.35,0.14573506807202466
55,07/14/2020,928.25,0.17628501766432805
56,07/15/2020,927.95,0.03895833333333333
57,07/20/2020,932.59,0.15393004061350835
58,07/21/2020,939.7,0.2272580073696145
59,07/22/2020,939.935,0.19200528007346185
60,07/23/2020,940.22,0.18651731445562608
61,07/27/2020,935.67,0.15182196969696968
62,07/28/2020,934.25,0.13659927849927855
63,08/03/2020,932.96,0.18797041027154665
64,08/04/2020,933.67,0.22033825265643445
65,08/05/2020,933.67,0.17771380751031918
66,08/06/2020,933.06,0.14807193362193366
67,08/07/2020,933.78,0.2050139762403914
68,08/10/2020,933.95,0.09947765197765196
69,08/11/2020,933.97,0.15414452304696208
70,08/12/2020,933.935,0.14269040819858578
71,08/13/2020,933.97,0.1265566606389391
72,08/24/2020,933.735,0.08996189483031589
73,08/25/2020,933.77,0.06837572150072149
74,08/26/2020,939.555,0.06717487640564565
75,08/27/2020,960.96,0.18058238058238055
76,08/28/2020,960.96,0.10096359500469088
77,09/01/2020,962.15,0.12867243867243866
78,09/02/2020,962.15,0.14852469053999665
79,09/03/2020,962.3,0.1677913889461509
80,09/04/2020,962.3,0.15080710955710952
81,09/07/2020,962.12,0.18051855766972047
82,09/08/2020,962.135,0.1993003565062389
83,09/09/2020,962.15,0.2320452715561412
84,09/10/2020,959.31,0.19441904951773376
85,09/11/2020,948.33,0.2655984555984557
86,09/14/2020,948.27,0.1904101358411703
87,09/15/2020,948.65,0.1798729200487013
88,09/16/2020,945.235,0.207480697163533
89,09/17/2020,944.38,0.09749442476715203
90,09/21/2020,944.075,0.22120221898283127
91,09/22/2020,944.38,0.2277672773654917
92,09/23/2020,944.38,0.2716779025372776
93,09/24/2020,944.9,0.17476753688488386
94,09/25/2020,944.49,0.15097179421331966
95,09/28/2020,944.61,0.15610572171935813
96,09/29/2020,945.565,0.1879316420014094
97,09/30/2020,945.11,0.16865257407822062
98,10/01/2020,948.12,0.18434204110066185
99,10/02/2020,950.06,0.10138391972950796
100,10/05/2020,950.47,0.1774716393148597
101,10/06/2020,945.075,0.1337771135390183
102,10/07/2020,937.9,0.0852329784727744
103,10/08/2020,937.9,0.1911766474266475
104,10/09/2020,936.315,0.10650757575757576
105,10/12/2020,936.21,0.2423369991936169
106,10/13/2020,936.4,0.1752459114959115
107,10/14/2020,935.57,0.14151047512158624
108,10/15/2020,935.695,0.0897785841609371
109,10/16/2020,935.275,0.10668387072697418
110,10/19/2020,934.8766666666667,0.16169184076792772
111,10/20/2020,935.07,0.16350072150072145
112,10/21/2020,935.05,0.1668691252805836
113,10/22/2020,934.885,0.13747246400171928
114,10/23/2020,933.18,0.18336790524290528
